State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9708421790511882	0.019639708630850187	5.933850207003901E-4	0.0	0.0	0.0	0.0	0.005664578992287037	0.0032601483049741714	0.0
2	0.0018105203852610936	0.9853655954505736	0.0027879414908899875	0.0011899703865807965	0.0	1.9148934032654774E-4	1.081732590030309E-5	5.460417158943049E-4	0.00804935794313509	4.826596143827498E-5
3	0.0024942336734981255	0.10970100042642494	0.8768465223077402	9.387400048152617E-4	9.508538073702984E-6	4.618189552456721E-5	3.526091016591491E-4	0.0016771754500453796	0.007170247360821739	7.637812413968916E-4
4	0.0	0.01195336990919275	2.1512775416825033E-4	0.9737394726815058	0.0051414978152575916	0.002685278192753953	1.694875019632588E-5	1.680274819631258E-4	0.003575980988930248	0.0025042964260319034
5	0.0	0.0	0.0	0.01772400826119952	0.8937716201629411	0.06337644647827416	0.013410484703795512	1.5736180034970953E-4	0.0010087062126060502	0.01055137238083392
6	0.0	0.004535037416593718	3.1582536413960786E-5	0.006834937872850325	0.047228322393143944	0.9279075172580109	8.517360410712332E-4	0.0014984168791433885	0.007242429510426332	0.003870020092346258
7	0.0	0.0010646022505110993	9.965963926851353E-4	5.626440595214988E-4	0.04501572099414321	0.0036782200652061394	0.856328211645662	0.06818325424870166	0.010374708312975909	0.013796042030593352
8	0.06941493466697926	0.07141258667493783	0.007036224854030139	0.002436256411692932	3.0760269745331697E-4	0.0077888660684582636	0.08652196152009631	0.7070736546904919	0.047913951237936125	9.396117792407019E-5
9	0.006846153602129743	0.18417649896867927	0.00407247963526016	0.008427257882317877	5.164841389509228E-4	0.006549222430281702	0.0023117526199375876	0.008658491157610634	0.7112397623817385	0.06720189718309388
10	0.0	0.0033853658758452526	0.0012901807915322065	0.014231663943851811	0.018510125998772938	0.008554912202033754	0.006773836401387261	1.0852273781135597E-4	0.160306751911577	0.7868386401371883
